species	genus
RTO.TQH	RTO
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
JNH.FLH	JNH
JNH.FLH	JNH
QWP.DRH	QWP
EMD.FZO	EMD
EMD.FZO	EMD
JNH.FLH	JNH
JNH.FLH	JNH
JNH.FLH	JNH
QWP.LRO	QWP
NYV.XSY	NYV
NYV.XSY	NYV
RTO.TQH	RTO
RTO.TQH	RTO
RTO.TQH	RTO
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
RTO.JFR	RTO
RTO.JFR	RTO
RTO.JFR	RTO
RTO.JFR	RTO
JNH.ZIJ	JNH
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
JNH.ZIJ	JNH
JNH.ZIJ	JNH
QWP.DRH	QWP
QWP.DRH	QWP
QWP.DRH	QWP
QWP.DRH	QWP
QWP.LRO	QWP
QWP.LRO	QWP
QWP.LRO	QWP
QWP.LRO	QWP
QWP.LRO	QWP
QWP.LRO	QWP
QBG.CRP	QBG
QBG.CRP	QBG
NYV.XSY	NYV
EMD.WXC	EMD
EMD.WXC	EMD
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
EMD.FZO	EMD
EMD.FZO	EMD
EMD.FZO	EMD
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
QWP.DRH	QWP
QWP.DRH	QWP
QWP.DRH	QWP
QBG.CRP	QBG
QBG.CRP	QBG
QBG.CRP	QBG
QBG.CRP	QBG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
AUG.AEX	AUG
AUG.AEX	AUG
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KWJ	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
VVJ.KSF	VVJ
QBG.CRP	QBG
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
QBG.CRP	QBG
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
JNH.ZIJ	JNH
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.HSS	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
AUG.AEX	AUG
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
NYV.VCE	NYV
AUG.AEX	AUG
AUG.AEX	AUG
QWP.DRH	QWP
QBG.KGI	QBG
QBG.KGI	QBG
QBG.KGI	QBG
QBG.KGI	QBG
